OBJECTID,GL_String,Fund,Fund_Name,Department,Department_Name,Object,Object_Name,Adopted_Budget,Fiscal_Year
1,1000-00-00-0000-000000-000000-000-411201,1000,1000 General Fund,0,00 Non Department,411201,411201 Rebates-Property Tax,2400000,2021
2,1000-00-00-0000-000000-000000-000-411204,1000,1000 General Fund,0,00 Non Department,411204,411204 Rebate - Listing Penalty,8000,2021
3,1000-00-00-0000-000000-000000-000-440101,1000,1000 General Fund,0,00 Non Department,440101,440101 Rebates-Motor Veh Prv Lic,48000,2021
4,6200-70-71-0000-000000-000000-000-462199,6200,6200 WS Operating,70,70 Charlotte Water,462199,462199 WS Bad Debt,2500000,2021
5,6300-80-51-0000-000000-000000-000-463104,6300,6300 SW Operating,80,80 General Services,463104,463104 SW Bad Debt,700000,2021
6,1000-10-13-1010-000000-000000-000-510100,1000,1000 General Fund,10,10 Mayor & City Council,510100,510100 Salaries & Wages - Regular,267160,2021
7,1000-11-13-1110-111010-000000-000-510100,1000,1000 General Fund,11,11 City Manager,510100,510100 Salaries & Wages - Regular,1829133,2021
8,1000-12-13-1200-000000-000000-000-510100,1000,1000 General Fund,12,12 City Clerk,510100,510100 Salaries & Wages - Regular,573284,2021
9,1000-13-13-1300-000000-000000-000-510100,1000,1000 General Fund,13,13 City Attorney,510100,510100 Salaries & Wages - Regular,4711524,2021
10,1000-14-13-1400-000000-000000-000-510100,1000,1000 General Fund,14,14 Budget & Evaluation,510100,510100 Salaries & Wages - Regular,1603915,2021
11,1000-17-13-1710-000000-000000-000-510100,1000,1000 General Fund,17,17 Human Resources,510100,510100 Salaries & Wages - Regular,2702308,2021
12,1000-17-13-1730-000000-000000-000-510100,1000,1000 General Fund,17,17 Human Resources,510100,510100 Salaries & Wages - Regular,763891,2021
13,1000-17-13-1720-000000-000000-000-510100,1000,1000 General Fund,17,17 Human Resources,510100,510100 Salaries & Wages - Regular,536330,2021
14,1000-17-13-1740-000000-000000-000-510100,1000,1000 General Fund,17,17 Human Resources,510100,510100 Salaries & Wages - Regular,430053,2021
15,1000-18-11-1840-184030-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,3230506,2021
16,1000-18-13-1820-182050-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,2433199,2021
17,1000-18-13-1820-182010-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,1648391,2021
18,1000-18-11-1840-184010-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,1533743,2021
19,1000-18-13-1810-181070-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,1254864,2021
20,1000-18-13-1810-181010-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,1092091,2021
21,1000-18-11-1830-183010-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,1051723,2021
22,1000-18-11-1830-183040-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,935662,2021
23,1000-18-13-1820-182040-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,860536,2021
24,1000-18-11-1840-184020-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,850955,2021
25,1000-18-11-1850-185030-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,817257,2021
26,1000-18-13-1810-181060-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,754332,2021
27,1000-18-13-1820-182030-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,731803,2021
28,1000-18-13-1820-182060-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,725175,2021
29,1000-18-13-1810-181030-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,554805,2021
30,1000-18-11-1830-183050-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,546216,2021
31,1000-18-11-1850-185040-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,536355,2021
32,1000-18-11-1830-183070-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,414851,2021
33,1000-18-13-1860-186020-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,399614,2021
34,1000-18-13-1810-181040-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,352995,2021
35,1000-18-11-1830-183020-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,321089,2021
36,1000-18-11-1830-183060-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,193227,2021
37,1000-18-11-1830-183030-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,157972,2021
38,1000-18-11-1850-185050-000000-000-510100,1000,1000 General Fund,18,18 Innovation and Technology,510100,510100 Salaries & Wages - Regular,77677,2021
39,7100-19-00-1960-000000-000000-000-510100,7100,7100 Risk Mgmt Operating,19,19 Finance,510100,510100 Salaries & Wages - Regular,1549366,2021
40,1000-19-11-1942-000000-000000-000-510100,1000,1000 General Fund,19,19 Finance,510100,510100 Salaries & Wages - Regular,1335696,2021
41,1000-19-11-1947-000000-000000-000-510100,1000,1000 General Fund,19,19 Finance,510100,510100 Salaries & Wages - Regular,1240255,2021
42,1000-19-11-1945-000000-000000-000-510100,1000,1000 General Fund,19,19 Finance,510100,510100 Salaries & Wages - Regular,1191315,2021
43,1000-19-11-1941-000000-000000-000-510100,1000,1000 General Fund,19,19 Finance,510100,510100 Salaries & Wages - Regular,929248,2021
44,1000-19-11-1943-000000-000000-000-510100,1000,1000 General Fund,19,19 Finance,510100,510100 Salaries & Wages - Regular,809979,2021
45,1000-19-11-1946-000000-000000-000-510100,1000,1000 General Fund,19,19 Finance,510100,510100 Salaries & Wages - Regular,643155,2021
46,7100-19-00-1960-000000-196010-000-510100,7100,7100 Risk Mgmt Operating,19,19 Finance,510100,510100 Salaries & Wages - Regular,147787,2021
47,1000-20-13-2010-000000-000000-000-510100,1000,1000 General Fund,20,20 Charlotte Communications,510100,510100 Salaries & Wages - Regular,1839459,2021
48,1000-20-13-2020-000000-000000-000-510100,1000,1000 General Fund,20,20 Charlotte Communications,510100,510100 Salaries & Wages - Regular,813162,2021
49,1000-21-13-2100-000000-000000-000-510100,1000,1000 General Fund,21,21 Community Relations,510100,510100 Salaries & Wages - Regular,1089037,2021
50,1000-22-13-2200-000000-000000-000-510100,1000,1000 General Fund,22,22 Internal Audit,510100,510100 Salaries & Wages - Regular,1024893,2021
51,1000-30-30-3050-305018-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,8364475,2021
52,1000-30-30-3020-302045-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,8169051,2021
53,1000-30-30-3050-305017-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,8067847,2021
54,1000-30-30-3050-305032-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,7981566,2021
55,1000-30-30-3050-305024-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,7935946,2021
56,1000-30-30-3050-305016-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,7725575,2021
57,1000-30-30-3050-305034-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,7484125,2021
58,1000-30-30-3050-305015-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,7391122,2021
59,1000-30-30-3050-305033-000000-000-510100,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,510100,510100 Salaries & Wages - Regular,7288686,2021
