X,Y,OBJECTID,CRSH_ID,DATE_VAL_Y,DATE_VAL_M,DATE_VAL_1,DATE_VAL_D,DAY_OF_WEE,DAY_OF_W_1,MILT_TIME,CASE_NUM,CRSH_TYPE_,CRASH_TYPE,CRSH_LEVL,PRIMARY_CA,PRIMARY__1,SECONDARY_,SECONDARY1,LATITUDE,LONGITUDE,StreetID
1425598.635856,519765.187106013,3745,767965,2016,6,June,9,5,Thursday,1750,20160609184900,14,Pedestrian,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.162879,-80.922041,
1467686.59523101,477272.897731006,3746,945507,2019,4,April,25,5,Thursday,1602,20190425160200,23,"Left turn, same roadway",2,19,Failed to yield right of way,0, ,35.048298,-80.778692,
1418834.588981,541631.05023101,3747,766801,2016,3,March,22,3,Tuesday,829,20160322082900,30,Angle,2,20,Inattention,0, ,35.222586,-80.946103,
1476559.433981,539516.62835601,3748,1033858,2020,7,July,17,6,Friday,1730,20200717221400,2,Ran off road left,2,0,No contributing circumstance indicated,0, ,35.219732,-80.752722,
1421123.43710601,561005.398356006,3749,902046,2018,7,July,14,7,Saturday,2010,20180714201000,15,Pedalcyclist,1,0, ,0, ,35.275933,-80.939708,
1415520.82648101,560469.283356011,3750,785626,2016,9,September,29,5,Thursday,1230,20160929123000,23,"Left turn, same roadway",2,19,Failed to yield right of way,0, ,35.274158,-80.958441,
1447649.714606,571749.781481013,3751,1018135,2020,1,January,22,4,Wednesday,2006,20200122200600,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.306841,-80.851516,
1432274.682731,513245.055231005,3752,752290,2016,2,February,20,7,Saturday,208,20160220020800,2,Ran off road left,2,14,Overcorrected/oversteered,0, ,35.14532,-80.89929,
1478395.621481,546188.80023101,3753,875567,2016,4,April,11,2,Monday,1905,20160411190500,15,Pedalcyclist,2,20,Inattention,0, ,35.238151,-80.746968,
1445600.293981,537665.010856003,3754,1030781,2020,5,May,4,2,Monday,1112,20200504111200,30,Angle,1,19,Failed to yield right of way,0, ,35.213099,-80.856248,
1444253.667106,587686.212731004,3755,909724,2018,6,June,5,3,Tuesday,915,20180605091700,30,Angle,1,4,Disregarded traffic signals,0, ,35.350446,-80.8639,
1463866.57898101,566292.260856003,3756,807227,2016,12,December,17,7,Saturday,2315,20161217231500,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.292667,-80.796837,
1469685.165231,489351.630856007,3757,1012164,2020,4,April,2,5,Thursday,807,20200402080800,14,Pedestrian,2,2,Disregarded stop sign,0, ,35.08158,-80.772736,
1434781.34835601,549672.007731006,3758,827021,2017,6,June,18,1,Sunday,1112,20170618111200,23,"Left turn, same roadway",2,20,Inattention,0, ,35.245523,-80.89323,
1447369.97085601,519270.423356012,3759,768052,2016,6,June,14,3,Tuesday,1622,20160614162200,21,"Rear end, slow or stop",2,20,Inattention,0, ,35.162656,-80.849177,
