,Fund_Name,Department_Name,Object_Name,Adopted_Budget,Fiscal_Year
180,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,5434415,2021
181,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,5070503,2021
182,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,4188542,2021
183,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,3094687,2021
184,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,2176962,2021
185,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,1866528,2021
186,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,1792230,2021
187,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,1516859,2021
188,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,1261884,2021
189,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,1120393,2021
190,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,910210,2021
191,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,881922,2021
192,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,811292,2021
193,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,754523,2021
194,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,709826,2021
195,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,498135,2021
196,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,351729,2021
197,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,316039,2021
198,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,315615,2021
199,6100 CATS Operating,41 Charlotte Area Transit System,510100 Salaries & Wages - Regular,182440,2021
327,6100 CATS Operating,41 Charlotte Area Transit System,510110 Admin & Clerical Salaries,886044,2021
328,6100 CATS Operating,41 Charlotte Area Transit System,510120 Transp - Wages & Salaries,26223627,2021
329,6100 CATS Operating,41 Charlotte Area Transit System,510130 Maint - Wages & Salaries,8493697,2021
330,6100 CATS Operating,41 Charlotte Area Transit System,510130 Maint - Wages & Salaries,449361,2021
356,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,2896500,2021
357,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,579300,2021
358,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,525000,2021
359,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,366000,2021
360,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,146400,2021
361,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,109800,2021
362,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,75000,2021
363,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,37000,2021
364,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,24156,2021
365,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,20000,2021
366,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,18000,2021
367,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,8000,2021
368,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,6000,2021
369,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,4000,2021
370,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,2500,2021
371,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,2500,2021
372,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,2000,2021
373,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,1500,2021
374,6100 CATS Operating,41 Charlotte Area Transit System,510140 Overtime,1000,2021
685,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,903890,2021
686,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,287720,2021
687,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,163032,2021
688,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,152115,2021
689,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,125656,2021
690,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,92841,2021
691,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,65309,2021
692,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,55996,2021
693,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,53767,2021
694,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,45506,2021
695,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,37857,2021
696,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,33612,2021
697,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,27306,2021
698,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,26581,2021
699,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,26458,2021
700,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,24339,2021
701,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,22636,2021
702,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,21295,2021
703,6100 CATS Operating,41 Charlotte Area Transit System,510195 Employee Merit Pay,15687,2021
